문제 번호,문제,보기 1,보기 2,보기 3,보기 4,보기 5,정답,해설
14,펌프 일상점검 항목 중 소음에 대한 판정기준으로 옳은 것은 무엇입니까?,0.5 L/min 이하로 한다.,손을 접촉하여 이상 진동이 느껴지지 않아야 한다.,"베어링부에서 이상음이 발생하지 않아야 하며, 케이싱부에 캐비테이션, 서징 등에 의한 이상음의 발생이 없어야 한다 (90dB(A) 이하).",주변 온도에 +40℃ 이상 상승하지 않아야 한다.,오일 게이지의 상·하한선 내에 들어가도록 한다.,3,"베어링부에서 이상음이 발생하지 않아야 하며, 케이싱부에 캐비테이션, 서어징 등에 의한 이상음의 발생이 없어야 한다. 90dB(A) 이하가 기준이다."
15,수충격 현상에 대한 설명으로 옳은 것은 무엇입니까?,펌프 기동 시 송출밸브를 서서히 열거나 운전 중 밸브를 서서히 닫을 때 주로 발생한다.,관내 유속이 급격히 변화하면서 압력이 급하강만 반복하는 현상이다.,"관로의 압력 상승에 의해 펌프, 밸브, 플랜지, 관로 등 설비가 파손되며, 부압에 의해 관로가 압괴하거나 수주분리가 생길 수 있다.",관로의 길이가 짧고 고양정 펌프인 경우 특히 심각해진다.,수주분리 후에는 다시 재결합하지 않아 추가적인 충격파는 발생하지 않는다.,3,"관로의 압력 상승에 의해 펌프, 밸브, 플랜지, 관로 등 설비가 파손된다. 부압에 의해 관로가 압괴하거나 수주분리가 생겨 재결합 시에 발생하는 격심한 충격파에 의해 관로가 파손되며 진동, 소음의 원인이 된다."
16,수충격 경감 대책 중 부압 발생 방지방법이 아닌 것은 무엇입니까?,펌프에 플라이휠을 설치한다.,토출측 관로에 조압수조를 설치한다.,토출관로에 한방향형 조압수조를 설치한다.,펌프 토출측에 압력 릴리프 밸브를 설치한다.,에어 챔버를 설치한다.,4,"압력 릴리프 밸브 설치는 압력 상승 방지법에 해당한다. 플라이휠, 조압수조, 한방향형 조압수조, 에어 챔버, 공기 밸브 설치는 부압 발생 방지 방법이다."
17,캐비테이션 현상에 대한 설명으로 틀린 것은 무엇입니까?,액체의 압력이 그 온도에서의 포화 증기압 이하로 내려가 액체의 내부에서 증발하여 기포가 생기는 현상이다.,"펌프 운전 중 캐비테이션이 발생하면 성능 저하는 물론 진동, 소음을 수반한다.",캐비테이션 상태에서 계속 운전하면 기포가 터질 때 충격에 의해 케이싱과 회전차의 손상이 발생한다.,유효 흡입수두(NPSH_av)는 펌프 그 자체와 무관하게 흡입측 배관 또는 시스템에 따라 정해지는 값이다.,캐비테이션 발생을 방지하기 위해서는 NPSH_av < NPSH_re x 1.3 조건을 만족해야 한다.,5,캐비테이션 발생 없이 펌프를 운영하기 위해서는 펌프 입구의 전압력을 액체의 포화증기압에 비해서 높게 운영할 필요가 있으며 운전 범위 내에서 항상 다음 조건을 만족해야 한다: NPSH_av > NPSH_re x 1.3.
18,서징 현상에 대한 설명으로 옳은 것은 무엇입니까?,펌프 운전 중에 유량 및 압력 변동이 불규칙적으로 발생하는 현상이다.,펌프의 Q-H 곡선이 우하향 곡선 부근에서 유량을 감소시키면 압력이 감소하는 안정적인 운전 상태에서 발생한다.,서징 현상 방지를 위해 유량 조절 밸브를 기체 상태가 존재하는 부분의 하류측에 설치해야 한다.,펌프의 Q-H 곡선이 산형(우상향) 구배 특성을 가지고 있을 때 발생하기 쉽다.,배관 중에 수조 또는 기체 상태인 부분이 존재하지 않도록 하는 것이 서징 발생을 유발한다.,4,서징 현상의 발생 원인 중 하나는 펌프의 Q-H 곡선이 산형(우상향) 구배 특성을 가지고 있는 것이다.
19,밸브의 용도에 따른 분류 중 제어용 밸브에 대한 설명으로 틀린 것은 무엇입니까?,취·송·배수의 유량 및 압력을 제어하거나 배수지 등의 수위를 조절하기 위한 용도로 설치된다.,"사용 목적에 따라 유량제어용, 압력제어용, 수위제어용으로 분류된다.","유량제어용 밸브로는 버터플라이밸브, 콘밸브, 볼밸브, 오토밸브 등이 있다.",저개도에서의 제어로 캐비테이션 발생이 예상되는 경우 슬루스 밸브를 사용하는 것이 바람직하다.,유량제어용 밸브는 펌프 토출량을 제어하는 경우에도 사용된다.,4,"저개도에서의 제어로 캐비테이션의 발생이 예상되는 경우에는 니들밸브, 슬리브밸브, 다공 노즐밸브 등의 캐비테이션 특성이 우수한 밸브를 사용하는 것이 바람직하다. 슬루스 밸브(제수밸브)는 차단용 밸브의 대표적인 설비이다."
20,버터플라이 밸브의 특징에 대한 설명으로 적절하지 않은 것은 무엇입니까?,밸브 몸통 내에서 원판형의 디스크가 밸브 축을 중심으로 회전하는 구조이다.,다른 형식의 제어 밸브에 비하여 경량이며 개폐에 필요한 회전력(토크)이 작고 가격이 저렴하다.,디스크가 밸브 몸체 내에 있기 때문에 슬루스 밸브에 비하여 전개 시의 압력 손실이 작다.,소구경에서는 관 단면적에 비하여 디스크 면적비가 크게 된다.,"밸브 구동 기어박스 위치에 따라 수직형, 수평형으로 구분된다.",3,버터플라이 밸브는 디스크가 밸브몸체 내에 있기 때문에 슬루스 밸브에 비하여 전개 시의 압력손실이 크다.
21,압력 제어용 밸브의 형식 선정에 대한 설명으로 옳은 것은 무엇입니까?,"저압에서 감압량이 작은 경우 주로 슬리브 밸브, 니들 밸브를 사용한다.","중고압에서 감압량이 크지 않은 경우 주로 버터플라이 밸브, 오토 밸브를 사용한다.","중고압에서 감압량이 큰 경우 주로 슬리브 밸브, 니들 밸브, 다공노즐 밸브 등을 사용한다.",압력 제어용 밸브는 관로 압력이 낮을 때 압력을 높이고자 할 때 사용한다.,압력 제어용 밸브는 항상 관로의 말단에만 설치해야 한다.,3,"압력 제어용 밸브는 관로의 압력이 필요 이상으로 높아서 낮추고자 할 때 사용한다. 중고압에서 감압량이 큰 경우 슬리브 밸브, 니들 밸브, 오토 밸브(감압밸브), 다공노즐 밸브 등이 사용된다."
22,게이트 밸브(제수 밸브) 중 안나사식 게이트 밸브의 특징으로 옳은 것은 무엇입니까?,밸브봉이 회전할 수 없도록 고정되어 있어 핸들을 돌리면 슬리브를 통해 밸브봉과 밸브체가 함께 상하 운동한다.,밸브봉과 밸브체가 함께 상하로 움직이므로 밸브의 치수가 커진다.,"나사부가 밸브 상자 외부에 위치하여 유수에 혼입된 이물질이 끼는 일이 없고, 정비가 용이하다.","나사 가공된 밸브봉이 상하방향으로 이동할 수 없도록 고정되어 있으며, 상부 캡을 돌려 밸브가 회전하면 스핀들 너트 작용으로 밸브체가 상하로 움직인다.",도로 등의 지하에 매설하는 게이트 밸브로 적합하지 않다.,4,안나사식 게이트 밸브는 나사 가공된 밸브봉이 상하방향으로 이동할 수 없도록 고정되어 있다. 따라서 상부의 캡을 돌려 밸브가 회전하면 스핀들너트의 작용으로 밸브체가 상하로 움직인다.
23,물의 흐름을 일정한 방향으로 제한하기 위하여 주로 펌프의 토출측에 설치되는 밸브는 무엇입니까?,제어용 밸브,차단용 밸브,방류용 밸브,역류방지용 밸브,감압용 밸브,4,역류방지용 밸브는 물의 흐름을 일정한 방향으로 제한하기 위하여 펌프의 토출측에 주로 설치한다.
24,공기 밸브의 종류 중 단일구멍형 공기 밸브에 대한 설명으로 옳은 것은 무엇입니까?,쌍구형에 비하여 소형이며 중량이 작다.,배기압력이 플로트 밸브와 직접 작동하지 않아 성능이 확실하다.,관로의 높은 곳에 설치하여 관내의 축적 공기를 연속적으로 배기하는 것을 주된 기능으로 한다.,대기압을 흡입하여 관내 진공이 발생하지 않게 함으로써 관의 손상을 방지한다.,폐쇄 속도가 매우 완만하게 조절될 수 있는 특성을 가진다.,3,단일구멍형 공기 밸브는 관로의 높은 곳에 설치하여 관내의 축적 공기를 연속적으로 배기하는 것을 주된 기능으로 한다. 대기압을 흡입하여 관내 진공이 발생하지 않게 하는 것은 흡배기 밸브의 기능이다.
25,밸브 유지관리 시 밸브 조작에 대한 유의사항으로 틀린 것은 무엇입니까?,밸브 조작은 완속으로 시행하여 관로내 수격 발생 및 수질사고를 예방한다.,전동 조작 중 밸브가 정지하거나 수동 조작 중 조작력이 증가할 경우 즉시 강제로 조작을 완료해야 한다.,극한적인 저개도 운전은 캐비테이션을 발생시킬 수 있으므로 이러한 영역의 개도에서 밸브 운전은 금지한다.,"밸브의 실제 개도와 개도계상의 개도를 확인하고, 밸브 전폐 이후 실제 차수 여부를 확인한다.",밸브 내부에 수류가 흐르지 않은 상태에서 밸브 조작 시 시트면 손상이 발생될 위험이 있으므로 수분을 함유시킨 후 조작한다.,2,전동조작 중 밸브가 정지하거나 수동조작 중 조작력이 증가할 경우 밸브 내 기어박스 등의 이상이나 이물질에 의한 영향이 있을 수 있으므로 이에 대한 원인을 분석한 이후에 조작한다.
26,밸브의 주요 고장 원인에 대한 설명으로 틀린 것은 무엇입니까?,"대부분의 밸브가 다습한 변실 내에 설치되어 있어 부식 발생이 심하며, 시트 손상으로 인한 누수가 발생할 수 있다.","급격한 밸브 조작, 정전과 같은 원인으로 수충격이 발생하여 플랜지 및 밸브 몸통 체결부의 파손이 발생할 수 있다.","밸브 설치 시 밸브 전, 후 관중심이 일치하지 않거나 동일하지 않은 토크로 체결하면 플랜지에서 불평형 응력이 발생하지 않아 누수가 방지된다.","관로 운영 초기 관로상 이물질로 인해 밸브 시트가 파손되거나, 공기 밸브의 볼에 이물질이 끼어 누수가 발생할 수 있다.",설치 이후 장기간 미작동 상태로 있는 경우 부품 내부 고착이 심하게 발생하여 갑작스런 조작으로 파손될 수 있다.,3,"밸브 설치 시 밸브 전, 후 관중심이 일치하지 않거나 동일하지 않은 토크로 체결하면 플랜지에서 불평형 응력이 발생하여 밸브나 가스켓의 파손으로 누수가 발생한다."
27,금속 부식의 메커니즘을 구성하는 4가지 요소가 아닌 것은 무엇입니까?,양극 (Anode),음극 (Cathode),전해질 (Ionic Path),금속 경로 (Metallic Path),절연체 (Insulator),5,"금속 부식은 양극(Anode), 음극(Cathode), 금속 경로(Metallic Path) 및 전해질(Ionic Path)로 구성된 전기적 회로를 통해 발생한다."
28,전기방식(음극방식) 기법에 대한 설명으로 옳은 것은 무엇입니까?,주로 금속구조물 표면을 전해질과 차단하는 방법만을 의미한다.,양극 반응의 진행을 억제하여 부식을 방지하는 것이 주된 원리이다.,금속 표면에서 전해질을 통하여 전류가 유입될 때 부식이 일어난다고 본다.,희생 양극법은 외부 전원 장치를 이용하여 방식 전류를 얻는 방법이다.,외부 전원법은 이종 금속 간의 전위차를 이용하여 방식 전류를 얻는 방법이다.,2,"음극방식(전기방식)의 원리는 금속구조물 표면을 전해질과 차단하는 방법, 양극반응의 진행을 억제하는 방법, 양극부와 음극부를 분리하는 방법이 있으며, 이 중 양극반응의 진행을 억제하는 방법이 최근 대부분 적용되고 있다."
29,수도관 방식 기준 전위에 대한 설명으로 옳은 것은 무엇입니까?,포화황산동 기준 전극으로 -850mV 이상을 유지해야 한다.,"포화황산동 기준 전극으로 -850mV 이하를 유지해야 하며, 이는 전기 철도의 영향으로부터 피해를 방지하기 위해 사용된다.",전위 강하(변이) 300mV 이상을 기준으로 한다.,분극 100mV 이상을 기준으로 한다.,황산염 환원 박테리아 토양에서는 -850mV 이상을 유지해야 한다.,2,상수도 배관이 전식이 아주 심한지역이 아니라면 수도관 방식기준전위인 포화황산동 기준전극(CSE)으로 -850mV 이하를 유지하여 전기 철도의 영향으로부터 피해를 방지할 수 있어 판정기준으로 사용된다.
30,배류법의 종류 중 가장 널리 사용되는 방식은 무엇입니까?,직접 배류법,선택 배류법,강제 배류법,유도 배류법,음극 배류법,2,"배류법은 직접배류법, 선택 배류법, 강제배류법으로 구분하며, 가장 널리 사용되는 방식은 선택배류법이다."
31,외부 전원법의 장점으로 틀린 것은 무엇입니까?,출력 전류가 높고 대개 출력 조절이 가능하다.,장기간 사용이 가능하다.,다른 배관에 간섭 영향이 적다.,토양 비저항이 큰 환경에도 효과적이다.,시설 비용이 상대적으로 크다는 단점이 있다.,3,"외부 전원법의 장점은 출력전류가 높고 대개 출력조정이 가능하고, 장기간 사용 가능하며, 토양 비저항이 큰 환경에도 사용 가능하다. 단점은 다른 배관에 간섭 영향이 있을 수 있으며, 시설 비용이 상대적으로 크다."
32,상수도 관망시설에서 전기설비가 구성되는 내용으로 틀린 것은 무엇입니까?,"전력인입설비를 포함한 수전설비, 변전설비, 배전설비로 구성된다.",부하설비 및 예비전원설비로 구성된다.,"건축물에 대한 전열 및 조명설비, 접지피뢰설비로 구성된다.",방재설비 및 부대전기설비로 구성된다.,전기설비는 일부분의 사고나 고장이 다른 계통에 파급될 수 없도록 개별적으로 관리된다.,5,"전기설비는 일부분의 사고나 고장이 다른 계통에도 파급될 수 있어 전체 계통에 대한 관리가 필요하며, 『전기사업법』과 그 관련 규정을 준수해야 한다."
33,저압반에서 사용되는 표시등의 색상에 대한 설명으로 옳은 것은 무엇입니까?,"운전용은 녹색, 정지용은 황색, 고장표시용은 적색이 사용된다.","운전용은 적색, 정지용은 녹색, 고장표시용은 황색이 사용된다.","운전용은 황색, 정지용은 적색, 고장표시용은 녹색이 사용된다.","운전용은 청색, 정지용은 백색, 고장표시용은 적색이 사용된다.",모든 표시등의 색상은 운전자의 임의 설정에 따라 변경될 수 있다.,2,"저압반에서 표시등(PL)은 운전용은 적색(RED), 정지용은(GREEN), 고장표시용은 황색(YELLOW)이 사용되고 있다."
34,SPD(Surge Protective Device)에 대한 설명으로 옳은 것은 무엇입니까?,서지(과전압)에 둔감한 전기전자통신설비를 보호하기 위해 사용된다.,유입 서지를 감쇠시켜 설비를 보호하는 기구이다.,"차단형 소자, 저지형 소자, 방류형 소자 등으로 구성되지 않는다.","주로 정격전압, 제한전압, 최대연속전압 등의 용어는 사용하지 않는다.","설치는 기기 입구, 개별 접지, 장거리(100m 이상)를 기준으로 한다.",2,SPD는 서지(과전압)에 민감한 전기전자통신설비를 서지 위협으로부터 보호하고자 유입서지를 감쇠시켜 설비를 보호하는 기구이다.
35,저압 전기설비의 절연저항 기준에 대한 설명으로 옳은 것은 무엇입니까?,SELV 및 PELV 회로의 절연저항은 0.5 MΩ 미만이어야 한다.,FELV 회로 및 500V 이하 전로의 절연저항은 1.0 MΩ 이상이어야 한다.,500V 초과 전로의 절연저항은 1.0 MΩ 미만이어야 한다.,누설전류는 저압 전로에서 정전이 어려운 경우 1mA 이하를 기준으로 한다.,절연저항은 전원 주파수와 관계없이 항상 일정하게 유지되어야 한다.,2,"저압설비의 절연저항은 SELV 및 PELV: 0.5MΩ / FELV, 500V 이하: 1.0MΩ / 500V 초과: 1.0MΩ 이상을 기준으로 한다 (전기설비기술기준 제52조). 누설전류(저압 전로에서 정전이 어려운 경우)는 10mA 이하이다."
36,특고압반(22.9kV PANEL) 운전 시 숙지사항으로 옳은 것은 무엇입니까?,조작 전원이 직류인 경우 DC 전압은 각 PANELS 내부 계전기 코일 전압 이상을 확인해야 한다.,MOF 또는 PT PANEL의 POWER FUSE는 항상 차단된 상태여야 한다.,INCOMING PANEL의 POWER FUSE는 항상 투입된 상태여야 한다.,운전하고자 하는 PANELS의 차단기 조작전원용 MCCB는 항상 차단되어 있어야 한다.,전압계에 나타난 전압이 비정상일 경우 즉시 강제로 운전을 시도한다.,1,조작전원이 직류인 경우 DC 전압은 각 PANELS 내부 계전기 코일 전압 이상을 확인해야 한다.
37,비상 발전기 설비 운전 조건 중 시운전에 대한 권장 사항은 무엇입니까?,한 달에 15분 정도 무부하 운전 및 매 3회째 마다 30% 부하 운전을 권장한다.,일주일에 한 번씩 1시간 이상 전 부하 운전을 실시한다.,계절 변화에 따라 시운전 주기를 변경할 필요가 없다.,"시운전 시 냉각수량, 연료량 등은 점검하지 않아도 된다.",시운전은 발전기 정격 출력의 50% 이상 부하에서만 실시해야 한다.,1,발전기 시운전은 한 달에 15분 정도 무부하 운전 및 매 3회째 마다 30% 부하 운전 정도를 권장한다.
38,수전회로용 보호계전기 정정 중 단락보호 정정에 대한 설명으로 옳은 것은 무엇입니까?,한시 탭(Tap)은 수전계약 최대전류의 200%에 정정한다.,한시 레버(Lever)는 수전변압기 중 가장 큰 용량의 변압기 2차 3상 단락전류에 1.0초 이내에 동작하도록 선정한다.,순시 탭(Tap)은 수전변압기 중 가장 큰 용량의 변압기 2차 3상 단락 전류의 50%~100%에 정정한다.,한시 탭(Tap)은 수전계약 최대전류의 150%에 정정한다.,순시 탭(Tap)은 돌입전류에 반드시 동작하도록 정정한다.,4,"수전회로용 보호계전기 정정에서 단락보호 정정은 한시 탭(Tap)을 수전계약 최대전류의 150%에 정정하고, 한시 레버(Lever)는 수전변압기 중 가장 큰 용량의 변압기 2차 3상 단락전류에 0.6초 이내에 동작하도록 선정한다. 순시 탭(Tap)은 수전변압기 2차 3상 단락 전류의 150%~200%에 정정한다."
39,계측제어설비의 역할에 대한 설명으로 가장 적절한 것은 무엇입니까?,"유량, 압력 등의 질적인 항목만을 계측하여 설비의 수명을 예측한다.",계측한 결과에 따라 설비를 수동으로만 제어하고 정보는 관리하지 않는다.,측정 데이터를 수집하고 제어장치에 의해 적절한 제어와 정보를 처리함으로써 합리적이며 안정적으로 수돗물을 공급한다.,계측값 또는 제어값을 각 장치로 전달하는 전송 기능은 포함되지 않는다.,주로 사고 발생 시에만 운전 상태를 파악하는 용도로 사용된다.,3,상수도 관로시설에 사용되는 계측제어설비는 상수도 공급시설 전반에 각각의 공정별로 적합한 측기기를 설치하여 그 측정 데이터를 수집하고 제어장치에 의해 적절한 제어와 정보를 처리함으로써 합리적이며 안정적으로 수돗물을 공급한다.
40,계측제어설비의 구성 요소 중 '공정의 상태값을 조절하기 위한 장치'는 무엇입니까?,검출부,지시부,조절부,조작부,전송부,3,조절부는 공정의 상태값을 조절하기 위한 장치이다.
41,계측제어설비 도면에서 사용되는 문자 기호 중 '유량'을 나타내는 변량 기호는 무엇입니까?,L,P,Q,F,T,4,"유량은 변량 기호 F(Flow)로 표시된다. L은 수위(Level), P는 압력(Pressure), Q는 양(Quantity), T는 온도(Temperature)를 의미한다."
42,계측제어설비 도면에서 배관 및 배선 그림 기호 중 '전기신호'를 나타내는 기호는 무엇입니까?,실선 (?),점선 (----------),점선에 엑스 표시 (-x-x-x-),실선에 두 개의 엑스 표시 (-xx-xx-),실선에 사각형 표시 (?□?□?),3,전기신호는 그림 기호 -x-x-x-로 나타낸다.
43,"탁도계의 측정 원리 중 '액체의 혼탁을 발생시키는 입자에 의한 산란광 강도로부터 탁도를 구하는 방식'은 무엇이며, 주로 어떤 탁도 측정에 사용됩니까?","투과광 측정법, 고탁도용","산란광 측정법, 저탁도용","투과광과 산란광의 비를 구하는 방법, 착색액 측정용","흡수광 측정법, 고탁도용","반사광 측정법, 고탁도용",2,"산란광 측정법은 액체의 혼탁을 발생시키는 입자에 의한 산란광 강도로부터 탁도를 구하는 방식으로 저탁도용으로 많이 사용되어지며 입자의 크기, 액체의 색상 및 빛 파장에 의한 영향이 크다."
44,pH계의 특징으로 옳은 것은 무엇입니까?,"유통형과 침적형이 있지만, 상수관로에서는 주로 침적형만 사용한다.",전극의 특성 변화가 없으므로 표준액으로 교정할 필요가 없다.,센서가 기계적 충격에 강하므로 보수 작업 시 특별한 주의가 필요 없다.,"기종에 따라 전해액 보충이 필요할 수 있으며, 자동 세척 및 교정 기능이 있는 기종도 있다.","주로 비접촉 방식으로 측정하며, 온도 센서 없이도 정확한 값을 측정할 수 있다.",4,"pH계는 유통형과 침적형이 있으므로 설치 장소에 적합한 것을 사용하며, 세척이나 교정을 자동적으로 행하는 기종도 있다. 전극의 특성 변화가 발생되므로 표준액으로 교정이 필요하며, 기종에 따라 전해액 보충이 필요하다. 센서가 기계적 충격에 약하므로 보수 작업 시 주의를 요한다."
45,측온저항온도계의 특징으로 옳은 것은 무엇입니까?,감도가 뛰어나지만 안정도가 낮다.,소자 보호 장치로 인해 응답이 매우 빠르다.,기계적 충격이나 진동에 강하므로 설치 시 특별한 고려 사항이 없다.,"저항값을 측정하여 온도를 측정하며, 백금(Pt), 니켈(Ni), 구리(Cu) 등이 측온저항체로 사용된다.","주로 2선식 결선 방식이 사용되며, 설치 비용이 저렴하다.",4,"측온저항온도계는 금속의 전기 저항값이 온도에 따라 선형적으로 변화하는 원리를 이용하여 저항값을 측정하여 온도를 측정하며, 측온저항체로 사용되는 금속은 백금(Pt), 니켈(Ni), 구리(Cu) 등이 사용된다."
46,수질계측기의 정밀도 관리에서 '우연 오차'에 대한 설명으로 옳은 것은 무엇입니까?,"특정 원인에 의해 측정값에 발생하는 오차로, 계기 오차, 환경 오차 등이 해당된다.","측정자의 경험 부족이나 오류에 의해 발생되는 오차로, 계속 올바른 측정을 해왔더라도 발생할 수 있다.","오차의 원인을 통제할 수 없는 우연한 상황에서 발생되는 오차로, 측정 횟수를 늘리고 값들의 평균값으로 대표값을 제시하여 줄일 수 있다.","교육 및 훈련 등으로 제거할 수 있는 오차이며, 측정값을 원리적으로 일괄 보정이 가능하다.",시스템을 구축하는 단계에서 계측기를 정밀하게 선정함으로써 완전히 제거할 수 있는 오차이다.,3,"우연 오차는 오차의 원인을 통제할 수 없는 우연한 상황에서 발생되는 오차로 교육, 훈련, 주의를 기울이더라도 피할 수 없는 오차들이므로 이 오차를 줄이기 위해서는 측정 횟수를 늘리고 값들의 평균값으로 대표값을 제시하는 방법이 있다."
47,계측기의 성능 시험 항목 중 '주어진 입력값의 측정 방향(값이 올라가거나 내려가는)에 의존하여 입력 신호에 대응하는 출력 값이 다른 측정기기 또는 장치의 특성'을 나타내는 용어는 무엇입니까?,안정성,반복성,재현성,히스테리시스,드리프트(Drift),4,히스테리시스는 주어진 입력값의 측정 방향(값이 올라가거나 내려가는)에 의존하여 입력 신호에 대응하는 출력 값이 다른 측정기기 또는 장치의 특성을 나타낸다.
48,"원격감시제어설비의 기능 분류 중 '유량, 수위 등의 설정값에 따라 밸브의 프로그램에 의해 연동되는 형식'에 해당하는 것은 무엇입니까?",표시 기능,조작 기능,제어 기능 (시퀸스 제어),제어 기능 (루프 제어),연산 처리 기능,4,"제어 기능에는 시퀸스 제어(펌프 제어, 밸브 제어 등)와 루프 제어(유량 제어, 약품 제어 등)가 포함된다. 주어진 설명은 루프 제어에 해당한다."
49,배수 펌프 제어 방식 중 '펌프의 압력을 이용하여 수돗물을 원격의 수용가에 압송하는 경우 그 유량에는 관계없이 원격의 임의 지점에 수요 말단압을 원하는 값으로 제어하는 방식'은 무엇입니까?,프로그램 제어,고정속 펌프 제어,가변속 펌프 제어,댓수 제어,말단압 제어,5,말단압 제어는 펌프의 압력을 이용하여 수돗물을 원격의 수용가에 압송하는 경우 그 유량에는 관계없이 원격의 임의 지점에 수요 말단압을 원하는 값으로 제어하는 것이다.
50,유량계 중 전자식 유량계의 특징으로 틀린 것은 무엇입니까?,"액체의 온도, 압력, 밀도 및 점도의 영향을 받지 않고 측정할 수 있다.",이형물을 포함하는 액체의 측정이 가능하다.,압력 손실이 발생하여 유량계 설치 시 압력 강하를 고려해야 한다.,유량에 직선적으로 비례하는 출력 신호를 얻을 수 있다.,가동 부분이 없고 응답이 빠르다.,3,전자식 유량계는 압력 손실이 무시할 수 있다.
51,"펌프의 특성 및 제어방법 파악에 대한 설명 중, 상수도 관망에서 주로 사용되는 펌프의 형식으로 가장 적절한 것은?",축류펌프,사류펌프,왕복형 펌프,터보펌프,기어 펌프,4,상수도 관망에서는 액체를 고층부로 이송하는 데 주로 터보펌프가 사용된다고 명시되어 있습니다.
52,원심펌프의 흡입구 형식에 따른 분류에 대한 설명으로 옳은 것은?,편흡입 펌프는 회전차의 양방향에서 유체가 흡입된다.,양흡입 펌프는 편흡입 펌프에 비해 유량이 절반이다.,양흡입 펌프는 편흡입 펌프에 비하여 케비테이션 특성이 우수하다.,편흡입 펌프는 대체적으로 대형에 사용되며 효율이 좋다.,모든 원심펌프는 흡입구의 수에 관계없이 케비테이션 특성이 동일하다.,3,"양흡입 펌프는 편흡입 펌프에 비하여 유량이 2배가 되고, 대체적으로 대형에 사용되며 효율이 좋다. 또한 정격유량이 양분되어 유입되므로 케비테이션 특성도 편흡입에 비하여 더 우수하다고 설명되어 있습니다."
53,원심펌프의 특징으로 옳지 않은 것은?,저유량 고양정에 적합하다.,효율이 높고 적용 범위가 넓다.,구조가 간단하고 취급이 용이하다.,다단펌프는 펌프를 병렬로 연결하는 것과 유사한 효과를 이용한 것이다.,단단펌프의 양수 가능 양정 범위는 일반적으로 80~100m이다.,4,다단펌프는 펌프를 직렬로 연결하는 것과 유사한 효과를 이용한 것입니다. 펌프를 직렬로 연결할 경우 양정이 증가합니다.
54,사류펌프의 특징으로 옳지 않은 것은?,"원심펌프에 비하여 저양정 중, 대유량에 적합하다.",축류펌프에 비하여 케비테이션 성능이 우수하다.,체절시동이 가능하다.,비속도는 650~1300 정도이다.,소형의 경우 효율이 높지만 대형의 경우 원심에 비하여 효율이 낮다.,5,"축류펌프의 특징 중 소형의 경우 효율이 낮지만 대형의 경우 원심에 비하여 효율이 높다는 설명은 있으나, 사류펌프에 대한 설명은 아닙니다. 사류펌프는 비속도가 650~1300이고, 고양정에서 케비테이션 현상도 작고 수명도 길다는 특징을 가집니다."
55,회전형 펌프의 특징에 대한 설명으로 옳은 것은?,송출압력이 매우 클 때 피스톤을 주로 사용한다.,불연속적으로 유체를 운송하며 송출량이 맥동하는 경우가 많다.,같은 유량을 내는 왕복형 펌프에 비해 대형이 된다.,"소유량, 고압의 양정을 요구하는 경우에 적합하다.",주로 액체에 공급되는 에너지가 동압력이기 때문에 점도가 낮은 유체에 적합하다.,4,"회전형 펌프는 소유량, 고압의 양정을 요구하는 경우에 적합하고, 연속적으로 유체를 운송하므로 일반적으로 왕복펌프와 같이 송출량이 맥동하는 경우는 거의 없습니다. 또한, 유체에 공급되는 에너지가 주로 정압력이기 때문에 비교적 점도가 높은 유체에 대해서 성능도 좋습니다."
56,기어 펌프의 단점으로 가장 적절한 것은?,구조가 복잡하다.,취급이 어렵다.,소음이 심하다.,과부하에 취약하다.,오염된 기름 수송에 부적합하다.,3,"기어 펌프는 소형, 경량, 저렴하고 오염된 기름, 과부하 등에 잘 견디지만, 소음이 심한 것이 단점으로 명시되어 있습니다."
57,스크류 펌프의 장점으로 옳지 않은 것은?,"나사봉 상호 간, 나사와 이벽 간에 금속적인 접촉이 없어 수명이 길다.",양축이 좌우 나사이므로 수압이 평형이 되어 추력이 생기지 않는다.,왕복동 부분이 없어 흐름이 정적이고 소음 진동이 적다.,자급 작용이 없으므로 펌프에 액을 채울 필요가 있다.,고속 회전이 가능하므로 소형이 되고 가격도 저렴하다.,4,스크류 펌프의 장점 중에는 자급 작용이 있으므로 펌프에 액을 채울 필요가 없다고 설명되어 있습니다.
58,재생펌프의 특징에 대한 설명으로 옳은 것은?,원심펌프에 비하여 저양정을 얻을 수 있으나 최고 효율은 높다.,유체의 점성력을 이용하지 않고 임펠러의 원심력만을 이용한다.,유로 내에서 액체의 난류가 심하여 효율이 높은 편이다.,마찰펌프로써 마찰을 이용하기 때문에 필연적으로 효율이 낮다.,이송액이 물인 경우 70~80%의 높은 효율을 보인다.,4,재생펌프는 마찰펌프로써 마찰을 이용하기 때문에 필연적으로 효율이 낮다고 설명되어 있습니다. 이송액이 물인 경우 효율은 30~40%로 낮습니다.
59,수격펌프의 작동 원리에 대한 설명으로 가장 적절한 것은?,압축공기를 양수관에 혼입하여 부력의 원리로 양수한다.,고압의 구동 유체를 노즐로 압송하여 보조 유체를 흡입한다.,유체의 점성력을 이용하여 층류 마찰 작용으로 양수한다.,수격작용을 이용하여 낮은 곳의 물을 높은 곳으로 양수한다.,임펠러 주변 홈에 들어간 액체가 케이싱에 둘러싸여 운반된다.,4,수격펌프는 수격작용을 이용하여 낮은 곳의 물을 높은 곳으로 양수하는 펌프를 말합니다.
